12413	Vadim_Yanov [449799]	GIVE	178694	Carbine Rifle (LSPD6038)	1	25.01.2023, 02:25:49
12412	Roman_Eternity [408192]	GIVE	99809	Carbine Rifle (LSPD6664)	1	25.01.2023, 02:20:07
12411	Roman_Eternity [408192]	TAKE	99809	Carbine Rifle (LSPD6664)	1	25.01.2023, 02:20:02
12410	Leo_OldGhost [439394]	TAKE	243884	Carbine Rifle (LSPD7386)	1	25.01.2023, 02:19:37
12409	Crystal_Versace [304653]	TAKE	181969	Carbine Rifle (LSPD6926)	1	25.01.2023, 02:12:46
12408	Leo_OldGhost [439394]	GIVE	243884	Carbine Rifle (LSPD7386)	1	25.01.2023, 02:10:33
12407	Taifun_Albione [51693]	GIVE	182467	Carbine Rifle (LSPD8525)	1	25.01.2023, 02:06:40
12406	Adolf_Angelov [344015]	TAKE	243258	Carbine Rifle (LSPD1366)	1	25.01.2023, 02:05:45
12405	Crystal_Versace [304653]	GIVE	181969	Carbine Rifle (LSPD6926)	1	25.01.2023, 02:03:13
12404	Taifun_Albione [51693]	TAKE	182467	Carbine Rifle (LSPD8525)	1	25.01.2023, 02:01:58
12403	Taifun_Albione [51693]	TAKE	182467	Carbine Rifle (LSPD6544)	1	25.01.2023, 02:01:55
12402	Taifun_Albione [51693]	TAKE	182467	Carbine Rifle (LSPD6674)	1	25.01.2023, 02:01:54
12401	Taifun_Albione [51693]	TAKE	182467	Carbine Rifle (LSPD2374)	1	25.01.2023, 02:01:53
12400	Taifun_Albione [51693]	TAKE	182467	Carbine Rifle (LSPD4971)	1	25.01.2023, 02:00:49
12399	Angel_Benedetti [424810]	TAKE	167269	Тазер (LSPD9364)	1	25.01.2023, 01:58:40
12398	Taifun_Albione [51693]	TAKE	182467	Carbine Rifle (LSPD6494)	1	25.01.2023, 01:55:17
12397	Angel_Benedetti [424810]	GIVE	167269	Тазер (LSPD9364)	1	25.01.2023, 01:54:03
12396	Angel_Benedetti [424810]	TAKE	167269	Тазер (LSPD9364)	1	25.01.2023, 01:53:27
12395	Taifun_Albione [51693]	GIVE	182467	Carbine Rifle (LSPD6544)	1	25.01.2023, 01:53:19
12394	Taifun_Albione [51693]	GIVE	182467	Carbine Rifle (LSPD8525)	1	25.01.2023, 01:53:18
12393	Taifun_Albione [51693]	TAKE	73174	Carbine Rifle (LSPD8525)	1	25.01.2023, 01:52:47
12392	Taifun_Albione [51693]	TAKE	73174	Carbine Rifle (LSPD6544)	1	25.01.2023, 01:52:47
12391	Taifun_Albione [51693]	GIVE	182467	Carbine Rifle (LSPD6674)	1	25.01.2023, 01:52:34
12390	Taifun_Albione [51693]	GIVE	182467	Carbine Rifle (LSPD2374)	1	25.01.2023, 01:52:33
12389	Taifun_Albione [51693]	GIVE	182467	Carbine Rifle (LSPD4971)	1	25.01.2023, 01:52:31
12388	Taifun_Albione [51693]	TAKE	73174	Carbine Rifle (LSPD6674)	1	25.01.2023, 01:52:20
12387	Taifun_Albione [51693]	TAKE	73174	Carbine Rifle (LSPD2374)	1	25.01.2023, 01:52:19
12386	Taifun_Albione [51693]	TAKE	73174	Carbine Rifle (LSPD4971)	1	25.01.2023, 01:52:14
12385	James_Jameson [262370]	TAKE	239863	Carbine Rifle (LSPD2570)	1	25.01.2023, 01:52:05
12384	Taifun_Albione [51693]	GIVE	182467	Carbine Rifle (LSPD6494)	1	25.01.2023, 01:52:00
12383	Taifun_Albione [51693]	TAKE	73174	Carbine Rifle (LSPD6494)	1	25.01.2023, 01:51:43
12382	Easy_Rose [404391]	GIVE	73174	Carbine Rifle (LSPD6544)	1	25.01.2023, 01:51:15
12381	Easy_Rose [404391]	GIVE	73174	Carbine Rifle (LSPD2374)	1	25.01.2023, 01:51:14
12380	Easy_Rose [404391]	GIVE	73174	Carbine Rifle (LSPD8525)	1	25.01.2023, 01:51:14
12379	Easy_Rose [404391]	TAKE	73174	Carbine Rifle (LSPD2374)	1	25.01.2023, 01:51:06
12378	Easy_Rose [404391]	TAKE	73174	Carbine Rifle (LSPD6544)	1	25.01.2023, 01:51:06
12377	Easy_Rose [404391]	TAKE	73174	Carbine Rifle (LSPD8525)	1	25.01.2023, 01:51:05
12376	Easy_Rose [404391]	GIVE	73174	Carbine Rifle (LSPD6674)	1	25.01.2023, 01:51:04
12375	Easy_Rose [404391]	TAKE	183759	Carbine Rifle (LSPD6674)	1	25.01.2023, 01:50:52
12374	Easy_Rose [404391]	GIVE	73174	Carbine Rifle (LSPD2374)	1	25.01.2023, 01:50:42
12373	Easy_Rose [404391]	GIVE	73174	Carbine Rifle (LSPD6544)	1	25.01.2023, 01:50:42
12372	Easy_Rose [404391]	GIVE	73174	Carbine Rifle (LSPD8525)	1	25.01.2023, 01:50:42
12371	Easy_Rose [404391]	TAKE	183759	Carbine Rifle (LSPD6544)	1	25.01.2023, 01:50:36
12370	Easy_Rose [404391]	TAKE	183759	Carbine Rifle (LSPD8525)	1	25.01.2023, 01:50:36
12369	Easy_Rose [404391]	TAKE	183759	Carbine Rifle (LSPD2374)	1	25.01.2023, 01:50:35
12368	Easy_Rose [404391]	GIVE	73174	Carbine Rifle (LSPD4971)	1	25.01.2023, 01:50:06
12367	Easy_Rose [404391]	TAKE	126643	Carbine Rifle (LSPD4971)	1	25.01.2023, 01:49:58
12366	Easy_Rose [404391]	GIVE	73174	Carbine Rifle (LSPD6494)	1	25.01.2023, 01:49:49
12365	Easy_Rose [404391]	TAKE	126643	Carbine Rifle (LSPD6494)	1	25.01.2023, 01:49:41
12364	James_Jameson [262370]	GIVE	239863	Carbine Rifle (LSPD2570)	1	25.01.2023, 01:49:35
